Article_ID,Source_Type,Database/Source,Search_Date,Search_Query,Title,Authors,Year,Journal/Conference,DOI,URL,Abstract,Document_Type,Language,Duplicate_Key,Duplicate?,Notes
SS-0171,API,Semantic Scholar,2026-09-22,Multiple queries (Q1-Q10),World4RL: Diffusion World Models for Policy Refinement With Reinforcement Learning for Robotic Manipulation,Zhen Jiang; Kai Liu; Yu-Xing Qin; Shuai Tian; Yupeng Zheng; Ming-Cai Zhou; Zhengtao Zhang; Chao Yu; Hao-Ran Li; Dong-Bin Zhao,2025,IEEE Robotics and Automation Letters,10.1109/LRA.2026.3728345,https://www.semanticscholar.org/paper/2083f2f7cf24d23793c0ba4495a407a4717f8db7,"Robotic manipulation policies are commonly initialized through imitation learning, but their performance is limited by the scarcity and narrow coverage of expert data. Reinforcement learning can refine policies to alleviate this limitation, yet real-robot training is costly and unsafe, while training in simulators suffers from the sim-to-real gap. Recent advances in generative models have demonstrated remarkable capabilities in real-world simulation, with diffusion models in particular excelling at generation. This raises the question of how diffusion model-based world models can be combined to enhance pre-trained policies in robotic manipulation. In this work, we propose World4RL, a two-stage system-level framework for robotic manipulation that uses a frozen diffusion visual world model as an imagined environment for reinforcement-learning-based policy refinement. Unlike prior works that primarily employ world models for planning, our framework enables direct end-to-end policy optimization. World4RL is designed around two principles: pre-training a diffusion world model that captures diverse dynamics on multi-task datasets and refining policies entirely within a frozen world model to avoid online real-world interactions. Extensive simulation and real-world experiments demonstrate that World4RL provides high-fidelity environment modeling and enables consistent policy refinement, yielding significantly higher success rates compared to imitation learning and other baselines.",JournalArticle,English,world4rl_diffusion_world_models_for_policy_refinement_2025,,Citations: 35
SS-0172,API,Semantic Scholar,2026-09-22,Multiple queries (Q1-Q10),Vista: A Generalizable Driving World Model with High Fidelity and Versatile Controllability,Shenyuan Gao; Jiazhi Yang; Li Chen; Kashyap Chitta; Yihang Qiu; Andreas Geiger; Jun Zhang; Hongyang Li,2024,Neural Information Processing Systems,10.48550/arXiv.2405.17398,https://www.semanticscholar.org/paper/ece57d6dcb7ee3e88d2ee94328badb5b41098744,"World models can foresee the outcomes of different actions, which is of paramount importance for autonomous driving. Nevertheless, existing driving world models still have limitations in generalization to unseen environments, prediction fidelity of critical details, and action controllability for flexible application. In this paper, we present Vista, a generalizable driving world model with high fidelity and versatile controllability. Based on a systematic diagnosis of existing methods, we introduce several key ingredients to address these limitations. To accurately predict real-world dynamics at high resolution, we propose two novel losses to promote the learning of moving instances and structural information. We also devise an effective latent replacement approach to inject historical frames as priors for coherent long-horizon rollouts. For action controllability, we incorporate a versatile set of controls from high-level intentions (command, goal point) to low-level maneuvers (trajectory, angle, and speed) through an efficient learning strategy. After large-scale training, the capabilities of Vista can seamlessly generalize to different scenarios. Extensive experiments on multiple datasets show that Vista outperforms the most advanced general-purpose video generator in over 70% of comparisons and surpasses the best-performing driving world model by 55% in FID and 27% in FVD. Moreover, for the first time, we utilize the capacity of Vista itself to establish a generalizable reward for real-world action evaluation without accessing the ground truth actions.",JournalArticle,English,vista_a_generalizable_driving_world_model_with_2024,,Citations: 380
SS-0173,API,Semantic Scholar,2026-09-22,Multiple queries (Q1-Q10),Improving Generalization for Neural Adaptive Video Streaming via Meta Reinforcement Learning,Nuowen Kan; Yuan Jiang; Chenglin Li; Wenrui Dai; Junni Zou; H. Xiong,2022,ACM Multimedia,10.1145/3503161.3548331,https://www.semanticscholar.org/paper/d4f7476d249521b7cd03a81dc5ad878d7fd8b64c,"In this paper, we present a meta reinforcement learning (Meta-RL)-based neural adaptive bitrate streaming (ABR) algorithm that is able to rapidly adapt its control policy to the changing network throughput dynamics. Specifically, to allow rapid adaptation, we discuss the necessity of detaching the inference of throughput dynamics with the universal control mechanism that is in essence shared by all potential throughput dynamics for neural ABR algorithms. To meta-learn the ABR policy, we then build up a model-free system framework, composed of a probabilistic latent encoder that infers the underlying dynamics from the recent throughput context, and a policy network that is conditioned on latent variable and learns to quickly adapt to new environments. Additionally, to address the difficulties caused by training the policy on mixed dynamics, on-policy RL (or imitation learning) algorithms are suggested for policy training, with a mutual information-based regularization to make the latent variable more informative about the policy. Finally, we implement our algorithm's meta-training and meta-adaptation procedures under a variety of throughput dynamics. Empirical evaluations on different QoE metrics and multiple datasets containing real-world network traces demonstrate that our algorithm outperforms state-of-the-art ABR algorithms, in terms of the performance on the average chunk QoE, consistency and fast adaptation across a wide range of throughput patterns.","Book, JournalArticle",English,improving_generalization_for_neural_adaptive_video_streaming_2022,,Citations: 53
SS-0174,API,Semantic Scholar,2026-09-22,Multiple queries (Q1-Q10),Model-Based Reinforcement Learning With Isolated Imaginations,Min-Ting Pan; Xiangming Zhu; Yitao Zheng; Yun-Bo Wang; Xiaokang Yang,2023,IEEE Transactions on Pattern Analysis and Machine Intelligence,10.1109/TPAMI.2023.3335263,https://www.semanticscholar.org/paper/f89465a8809b640fde405af305a48719ba371c50,"World models learn the consequences of actions in vision-based interactive systems. However, in practical scenarios like autonomous driving, noncontrollable dynamics that are independent or sparsely dependent on action signals often exist, making it challenging to learn effective world models. To address this issue, we propose Iso-Dream++, a model-based reinforcement learning approach that has two main contributions. First, we optimize the inverse dynamics to encourage the world model to isolate controllable state transitions from the mixed spatiotemporal variations of the environment. Second, we perform policy optimization based on the decoupled latent imaginations, where we roll out noncontrollable states into the future and adaptively associate them with the current controllable state. This enables long-horizon visuomotor control tasks to benefit from isolating mixed dynamics sources in the wild, such as self-driving cars that can anticipate the movement of other vehicles, thereby avoiding potential risks. On top of our previous work (Pan et al. 2022), we further consider the sparse dependencies between controllable and noncontrollable states, address the training collapse problem of state decoupling, and validate our approach in transfer learning setups. Our empirical study demonstrates that Iso-Dream++ outperforms existing reinforcement learning models significantly on CARLA and DeepMind Control.",JournalArticle,English,modelbased_reinforcement_learning_with_isolated_imaginations_2023,,Citations: 9
SS-0175,API,Semantic Scholar,2026-09-22,Multiple queries (Q1-Q10),RLVR-World: Training World Models with Reinforcement Learning,Jialong Wu; Shaofeng Yin; Ningya Feng; Mingsheng Long,2025,Neural Information Processing Systems,10.48550/arXiv.2505.13934,https://www.semanticscholar.org/paper/78169fd4729b3da0f5cf72f57bd968515a5ed646,"World models predict state transitions in response to actions and are increasingly developed across diverse modalities. However, standard training objectives such as maximum likelihood estimation (MLE) often misalign with task-specific goals of world models, i.e., transition prediction metrics like accuracy or perceptual quality. In this paper, we present RLVR-World, a unified framework that leverages reinforcement learning with verifiable rewards (RLVR) to directly optimize world models for such metrics. Despite formulating world modeling as autoregressive prediction of tokenized sequences, RLVR-World evaluates metrics of decoded predictions as verifiable rewards. We demonstrate substantial performance gains on both languageand video-based world models across domains, including text games, web navigation, and robot manipulation. Our work indicates that, beyond recent advances in reasoning language models, RLVR offers a promising post-training paradigm for enhancing the utility of generative models more broadly. Code, datasets, models, and video samples are available at the project website: https://thuml.github.io/RLVR-World.",JournalArticle,English,rlvrworld_training_world_models_with_reinforcement_learning_2025,,Citations: 50
SS-0176,API,Semantic Scholar,2026-09-22,Multiple queries (Q1-Q10),Dream to Generalize: Zero-Shot Model-Based Reinforcement Learning for Unseen Visual Distractions,Jeongsoo Ha; KyungSoo Kim; Yusung Kim,2023,AAAI Conference on Artificial Intelligence,10.1609/aaai.v37i6.25945,https://www.semanticscholar.org/paper/dbe429e7edf790b26c0f117027dc2cddb8ab9815,"Model-based reinforcement learning (MBRL) has been used to efficiently solve vision-based control tasks in high-dimensional image observations. Although recent MBRL algorithms perform well in trained observations, they fail when faced with visual distractions in observations. These task-irrelevant distractions (e.g., clouds, shadows, and light) may be constantly present in real-world scenarios. In this study, we propose a novel self-supervised method, Dream to Generalize (Dr. G), for zero-shot MBRL. Dr. G trains its encoder and world model with dual contrastive learning which efficiently captures task-relevant features among multi-view data augmentations. We also introduce a recurrent state inverse dynamics model that helps the world model to better understand the temporal structure. The proposed methods can enhance the robustness of the world model against visual distractions. To evaluate the generalization performance, we first train Dr. G on simple backgrounds and then test it on complex natural video backgrounds in the DeepMind Control suite, and the randomizing environments in Robosuite. Dr. G yields a performance improvement of 117% and 14% over prior works, respectively. Our code is open-sourced and available at https://github.com/JeongsooHa/DrG.git","JournalArticle, Conference",English,dream_to_generalize_zeroshot_modelbased_reinforcement_learning_2023,,Citations: 11
SS-0177,API,Semantic Scholar,2026-09-22,Multiple queries (Q1-Q10),Reinforcement Learning from Delayed Observations via World Models,Armin Karamzade; Kyungmin Kim; Montek Kalsi; Roy Fox,2024,RLJ,10.48550/arXiv.2403.12309,https://www.semanticscholar.org/paper/8dfcc25c5f06f575bee0c2ab9e12a4d8c95c1fd2,"In standard reinforcement learning settings, agents typically assume immediate feedback about the effects of their actions after taking them. However, in practice, this assumption may not hold true due to physical constraints and can significantly impact the performance of learning algorithms. In this paper, we address observation delays in partially observable environments. We propose leveraging world models, which have shown success in integrating past observations and learning dynamics, to handle observation delays. By reducing delayed POMDPs to delayed MDPs with world models, our methods can effectively handle partial observability, where existing approaches achieve sub-optimal performance or degrade quickly as observability decreases. Experiments suggest that one of our methods can outperform a naive model-based approach by up to 250%. Moreover, we evaluate our methods on visual delayed environments, for the first time showcasing delay-aware reinforcement learning continuous control with visual observations.",JournalArticle,English,reinforcement_learning_from_delayed_observations_via_world_2024,,Citations: 19
SS-0178,API,Semantic Scholar,2026-09-22,Multiple queries (Q1-Q10),Latent Intuitive Physics: Learning to Transfer Hidden Physics from A 3D Video,Xiangming Zhu; Huayu Deng; Haochen Yuan; Yun-Bo Wang; Xiaokang Yang,2024,International Conference on Learning Representations,10.48550/arXiv.2406.12769,https://www.semanticscholar.org/paper/c3e62fa890f4208789b78536311a730f7578c869,"We introduce latent intuitive physics, a transfer learning framework for physics simulation that can infer hidden properties of fluids from a single 3D video and simulate the observed fluid in novel scenes. Our key insight is to use latent features drawn from a learnable prior distribution conditioned on the underlying particle states to capture the invisible and complex physical properties. To achieve this, we train a parametrized prior learner given visual observations to approximate the visual posterior of inverse graphics, and both the particle states and the visual posterior are obtained from a learned neural renderer. The converged prior learner is embedded in our probabilistic physics engine, allowing us to perform novel simulations on unseen geometries, boundaries, and dynamics without knowledge of the true physical parameters. We validate our model in three ways: (i) novel scene simulation with the learned visual-world physics, (ii) future prediction of the observed fluid dynamics, and (iii) supervised particle simulation. Our model demonstrates strong performance in all three tasks.",JournalArticle,English,latent_intuitive_physics_learning_to_transfer_hidden_2024,,Citations: 8
SS-0179,API,Semantic Scholar,2026-09-22,Multiple queries (Q1-Q10),Latent Variable Modeling in Multi-Agent Reinforcement Learning via Expectation-Maximization for UAV-Based Wildlife Protection,Mazyar Taghavi; R. Farnoosh,2025,i-manager's Journal on Artificial Intelligence & Machine Learning,10.48550/arXiv.2509.02579,https://www.semanticscholar.org/paper/28b1b00313fe6eb2b17af9281c0b1a77c7362bf1,"Protecting endangered wildlife from illegal poaching presents a critical challenge, particularly in vast and partially observable environments where real-time response is essential. This paper introduces a novel Expectation-Maximization (EM) based latent variable modeling approach in the context of Multi-Agent Reinforcement Learning (MARL) for Unmanned Aerial Vehicle (UAV) coordination in wildlife protection. By modeling hidden environmental factors and interagent dynamics through latent variables, our method enhances exploration and coordination under uncertainty. We implement and evaluate our EM-MARL framework using a custom simulation involving 10 UAVs tasked with patrolling protected habitats of the endangered Iranian leopard. Extensive experimental results demonstrate superior performance in detection accuracy, adaptability, and policy convergence when compared to standard algorithms such as Proximal Policy Optimization (PPO) and Deep Deterministic Policy Gradient (DDPG). Our findings underscore the potential of combining EM inference with MARL to improve decentralized decisionmaking in complex, high-stakes conservation scenarios. The full implementation, simulation environment, and training scripts are publicly available on GitHub.",JournalArticle,English,latent_variable_modeling_in_multiagent_reinforcement_learning_2025,,Citations: 3
SS-0180,API,Semantic Scholar,2026-09-22,Multiple queries (Q1-Q10),Learning Latent Dynamic Robust Representations for World Models,Ruixiang Sun; Hongyu Zang; Xin Li; Riashat Islam,2024,International Conference on Machine Learning,10.48550/arXiv.2405.06263,https://www.semanticscholar.org/paper/e70d671b3333e2f437e00f5dbab98c29d412bc80,"Visual Model-Based Reinforcement Learning (MBRL) promises to encapsulate agent's knowledge about the underlying dynamics of the environment, enabling learning a world model as a useful planner. However, top MBRL agents such as Dreamer often struggle with visual pixel-based inputs in the presence of exogenous or irrelevant noise in the observation space, due to failure to capture task-specific features while filtering out irrelevant spatio-temporal details. To tackle this problem, we apply a spatio-temporal masking strategy, a bisimulation principle, combined with latent reconstruction, to capture endogenous task-specific aspects of the environment for world models, effectively eliminating non-essential information. Joint training of representations, dynamics, and policy often leads to instabilities. To further address this issue, we develop a Hybrid Recurrent State-Space Model (HRSSM) structure, enhancing state representation robustness for effective policy learning. Our empirical evaluation demonstrates significant performance improvements over existing methods in a range of visually complex control tasks such as Maniskill \cite{gu2023maniskill2} with exogenous distractors from the Matterport environment. Our code is avaliable at https://github.com/bit1029public/HRSSM.","JournalArticle, Conference",English,learning_latent_dynamic_robust_representations_for_world_2024,,Citations: 26
